strategy,student_type,success,total_steps,final_mastery,reached_mastery_step,remediation_count,unnecessary_remediations,final_accuracy
AB1_Baseline,Careless,0,40,0.8249,,0,0,0.675
AB1_Baseline,Careless,1,21,0.8509,21,0,0,0.4762
AB1_Baseline,Careless,1,35,0.8543,35,0,0,0.5714
AB1_Baseline,Careless,1,35,0.8513,35,0,0,0.4571
AB1_Baseline,Careless,1,13,0.8516,13,0,0,0.8462
AB1_Baseline,Careless,1,35,0.8545,35,0,0,0.5714
AB1_Baseline,Careless,0,40,0.8093,,0,0,0.525
AB1_Baseline,Careless,1,35,0.8657,35,0,0,0.8857
AB1_Baseline,Careless,0,40,0.746,,0,0,0.5
AB1_Baseline,Careless,1,27,0.8508,27,0,0,0.6296
AB1_Baseline,Careless,0,40,0.7248,,0,0,0.525
AB1_Baseline,Careless,0,40,0.8395,,0,0,0.55
AB1_Baseline,Careless,0,40,0.7566,,0,0,0.7
AB1_Baseline,Careless,1,32,0.8511,32,0,0,0.75
AB1_Baseline,Careless,0,40,0.8082,,0,0,0.625
AB1_Baseline,Careless,0,40,0.8225,,0,0,0.475
AB1_Baseline,Careless,0,40,0.8254,,0,0,0.625
AB1_Baseline,Careless,0,40,0.7443,,0,0,0.45
AB1_Baseline,Careless,1,22,0.8537,22,0,0,0.7273
AB1_Baseline,Careless,0,40,0.7609,,0,0,0.575
AB1_Baseline,Careless,0,40,0.7598,,0,0,0.6
AB1_Baseline,Careless,1,15,0.8606,15,0,0,0.6667
AB1_Baseline,Careless,0,40,0.8485,,0,0,0.675
AB1_Baseline,Careless,0,40,0.8215,,0,0,0.775
AB1_Baseline,Careless,1,26,0.8525,26,0,0,0.6154
AB1_Baseline,Careless,1,20,0.8651,20,0,0,0.7
AB1_Baseline,Careless,0,40,0.7335,,0,0,0.6
AB1_Baseline,Careless,0,40,0.8408,,0,0,0.625
AB1_Baseline,Careless,1,30,0.8575,30,0,0,0.5
AB1_Baseline,Careless,1,31,0.8636,31,0,0,0.6774
AB1_Baseline,Careless,1,7,0.8533,7,0,0,0.8571
AB1_Baseline,Careless,0,40,0.7608,,0,0,0.675
AB1_Baseline,Careless,0,40,0.7566,,0,0,0.6
AB1_Baseline,Careless,1,39,0.861,39,0,0,0.5897
AB1_Baseline,Careless,1,32,0.8719,32,0,0,0.7188
AB1_Baseline,Careless,0,40,0.7686,,0,0,0.55
AB1_Baseline,Careless,0,40,0.8447,,0,0,0.675
AB1_Baseline,Careless,1,22,0.8559,22,0,0,0.7727
AB1_Baseline,Careless,1,17,0.8585,17,0,0,0.7647
AB1_Baseline,Careless,1,16,0.8516,16,0,0,0.8125
AB1_Baseline,Careless,1,16,0.8535,16,0,0,0.4375
AB1_Baseline,Careless,0,40,0.7198,,0,0,0.5
AB1_Baseline,Careless,0,40,0.642,,0,0,0.375
AB1_Baseline,Careless,0,40,0.7816,,0,0,0.65
