max_steps,strategy,student_type,success_rate,avg_steps,avg_final_mastery
30,AB1_Baseline,Careless,0.36,27.42,0.7968
30,AB1_Baseline,Weak,0.0,40.0,0.5755
30,AB1_Baseline,Average,0.01,29.99,0.7294
30,AB2_RuleBased,Careless,0.3,26.39,0.7865
30,AB2_RuleBased,Weak,0.0,40.0,0.5785
30,AB2_RuleBased,Average,0.0,30.0,0.7049
30,AB3_PPO_Dynamic,Careless,0.77,21.94,0.8344
30,AB3_PPO_Dynamic,Weak,0.0,40.0,0.5248
30,AB3_PPO_Dynamic,Average,0.3,29.34,0.8049
40,AB1_Baseline,Careless,0.48,33.23,0.8163
40,AB1_Baseline,Weak,0.01,49.99,0.605
40,AB1_Baseline,Average,0.14,39.29,0.7689
40,AB2_RuleBased,Careless,0.48,32.35,0.8176
40,AB2_RuleBased,Weak,0.0,50.0,0.611
40,AB2_RuleBased,Average,0.03,39.9,0.723
40,AB3_PPO_Dynamic,Careless,0.89,24.69,0.8514
40,AB3_PPO_Dynamic,Weak,0.13,49.16,0.5573
40,AB3_PPO_Dynamic,Average,0.74,34.53,0.8313
50,AB1_Baseline,Careless,0.68,36.56,0.838
50,AB1_Baseline,Weak,0.05,59.62,0.6414
50,AB1_Baseline,Average,0.37,46.87,0.7976
50,AB2_RuleBased,Careless,0.55,38.06,0.8187
50,AB2_RuleBased,Weak,0.0,60.0,0.6144
50,AB2_RuleBased,Average,0.07,49.52,0.7471
50,AB3_PPO_Dynamic,Careless,0.94,24.31,0.8464
50,AB3_PPO_Dynamic,Weak,0.24,57.69,0.617
50,AB3_PPO_Dynamic,Average,1.0,34.09,0.8571
