max_steps,strategy,student_group,success_rate,avg_steps,avg_mastery,avg_mastery_gain
30,Baseline,"Careless (B+,B++)",0.94,17.53,0.8047289999999999,0.076586
30,Baseline,Average (B),0.38,28.33,0.772909,0.198321
30,Baseline,Weak (C),0.0,30.0,0.525853,0.20325600000000002
30,Rule-Based,"Careless (B+,B++)",0.92,16.02,0.8044530000000001,0.076893
30,Rule-Based,Average (B),0.46,27.65,0.77385,0.199427
30,Rule-Based,Weak (C),0.0,30.0,0.569412,0.24758
30,Adaptive (Ours),"Careless (B+,B++)",0.99,12.82,0.8066150000000001,0.079345
30,Adaptive (Ours),Average (B),0.85,23.18,0.799174,0.22677399999999998
30,Adaptive (Ours),Weak (C),0.0,30.0,0.452122,0.131103
40,Baseline,"Careless (B+,B++)",0.96,18.45,0.805861,0.074178
40,Baseline,Average (B),0.64,32.39,0.793596,0.21448799999999998
40,Baseline,Weak (C),0.03,39.99,0.574297,0.253334
40,Rule-Based,"Careless (B+,B++)",0.99,16.93,0.8069799999999999,0.077527
40,Rule-Based,Average (B),0.88,29.84,0.802775,0.22703600000000002
40,Rule-Based,Weak (C),0.0,40.0,0.6034769999999999,0.282346
40,Adaptive (Ours),"Careless (B+,B++)",1.0,13.2,0.8066580000000001,0.077956
40,Adaptive (Ours),Average (B),0.98,24.14,0.806248,0.232841
40,Adaptive (Ours),Weak (C),0.09,39.48,0.5388109999999999,0.21253599999999997
50,Baseline,"Careless (B+,B++)",1.0,18.49,0.8088599999999999,0.08149100000000001
50,Baseline,Average (B),0.83,35.37,0.8006690000000001,0.22990200000000002
50,Baseline,Weak (C),0.05,49.67,0.602417,0.278108
50,Rule-Based,"Careless (B+,B++)",1.0,16.18,0.807305,0.08017900000000001
50,Rule-Based,Average (B),0.9,33.45,0.804577,0.233099
50,Rule-Based,Weak (C),0.05,49.97,0.6256889999999999,0.30363399999999996
50,Adaptive (Ours),"Careless (B+,B++)",1.0,11.64,0.806002,0.076029
50,Adaptive (Ours),Average (B),1.0,24.29,0.807411,0.234224
50,Adaptive (Ours),Weak (C),0.28,47.72,0.584269,0.26039999999999996
