strategy,student_type,success,total_steps,final_mastery,reached_mastery_step,remediation_count,unnecessary_remediations,final_accuracy
AB1_Baseline,Careless,1,12,0.8002,12,0,0,0.6667
AB1_Baseline,Careless,1,6,0.8091,6,0,0,0.8333
AB1_Baseline,Careless,1,17,0.8087,17,0,0,0.5294
AB1_Baseline,Careless,1,17,0.8095,17,0,0,0.4706
AB1_Baseline,Careless,1,12,0.8033,12,0,0,0.75
AB1_Baseline,Careless,1,32,0.8003,32,0,0,0.5625
AB1_Baseline,Careless,1,12,0.8034,12,0,0,0.6667
AB1_Baseline,Careless,1,11,0.8064,11,0,0,0.6364
AB1_Baseline,Careless,1,23,0.8031,23,0,0,0.5217
AB1_Baseline,Careless,1,7,0.81,7,0,0,0.8571
AB1_Baseline,Careless,1,17,0.8009,17,0,0,0.5294
AB1_Baseline,Careless,1,10,0.8087,10,0,0,0.9
AB1_Baseline,Careless,1,11,0.8004,11,0,0,0.5455
AB1_Baseline,Careless,1,14,0.8091,14,0,0,0.6429
AB1_Baseline,Careless,1,12,0.8009,12,0,0,0.75
AB1_Baseline,Careless,1,7,0.8013,7,0,0,0.7143
AB1_Baseline,Careless,1,10,0.8066,10,0,0,0.6
AB1_Baseline,Careless,1,12,0.8096,12,0,0,0.75
AB1_Baseline,Careless,1,25,0.806,25,0,0,0.48
AB1_Baseline,Careless,1,15,0.8024,15,0,0,0.5333
AB1_Baseline,Careless,1,17,0.8001,17,0,0,0.5294
AB1_Baseline,Careless,1,6,0.8082,6,0,0,0.8333
AB1_Baseline,Careless,1,23,0.8139,23,0,0,0.4783
AB1_Baseline,Careless,1,13,0.8044,13,0,0,0.6154
AB1_Baseline,Careless,1,22,0.8031,22,0,0,0.5
AB1_Baseline,Careless,1,12,0.8109,12,0,0,0.5833
AB1_Baseline,Careless,1,17,0.8022,17,0,0,0.5882
AB1_Baseline,Careless,1,12,0.8025,12,0,0,0.5833
AB1_Baseline,Careless,1,29,0.8007,29,0,0,0.4138
AB1_Baseline,Careless,1,26,0.8032,26,0,0,0.3846
AB1_Baseline,Careless,1,22,0.8059,22,0,0,0.6818
AB1_Baseline,Careless,1,20,0.8024,20,0,0,0.5
AB1_Baseline,Careless,1,11,0.8061,11,0,0,0.5455
AB1_Baseline,Careless,1,26,0.818,26,0,0,0.4615
AB1_Baseline,Careless,1,27,0.8073,27,0,0,0.5185
AB1_Baseline,Careless,1,14,0.8107,14,0,0,0.5714
AB1_Baseline,Careless,1,15,0.8068,15,0,0,0.6
AB1_Baseline,Careless,1,34,0.8179,34,0,0,0.4118
AB1_Baseline,Careless,1,14,0.8043,14,0,0,0.7143
AB1_Baseline,Careless,1,17,0.8097,17,0,0,0.5882
AB1_Baseline,Careless,1,17,0.8251,17,0,0,0.5882
AB1_Baseline,Careless,1,12,0.8014,12,0,0,0.75
AB1_Baseline,Careless,1,14,0.8168,14,0,0,0.5
AB1_Baseline,Careless,1,32,0.8125,32,0,0,0.4688
AB1_Baseline,Careless,1,35,0.8125,35,0,0,0.4
AB1_Baseline,Careless,1,21,0.8103,21,0,0,0.5238
AB1_Baseline,Careless,1,23,0.8067,23,0,0,0.4783
AB1_Baseline,Careless,1,19,0.81,19,0,0,0.4737
AB1_Baseline,Careless,1,15,0.8044,15,0,0,0.6
AB1_Baseline,Careless,1,18,0.8146,18,0,0,0.5556
AB1_Baseline,Careless,1,6,0.8031,6,0,0,0.8333
AB1_Baseline,Careless,1,17,0.8021,17,0,0,0.5882
AB1_Baseline,Careless,1,20,0.8113,20,0,0,0.5
AB1_Baseline,Careless,1,23,0.8082,23,0,0,0.5217
AB1_Baseline,Careless,1,21,0.8012,21,0,0,0.381
AB1_Baseline,Careless,1,29,0.8086,29,0,0,0.4138
AB1_Baseline,Careless,1,17,0.8016,17,0,0,0.5294
AB1_Baseline,Careless,0,40,0.7792,,0,0,0.4
AB1_Baseline,Careless,1,32,0.8066,32,0,0,0.4375
AB1_Baseline,Careless,1,17,0.812,17,0,0,0.5294
AB1_Baseline,Careless,0,40,0.7528,,0,0,0.475
AB1_Baseline,Careless,1,22,0.8081,22,0,0,0.5455
AB1_Baseline,Careless,1,14,0.8073,14,0,0,0.5714
AB1_Baseline,Careless,1,16,0.8121,16,0,0,0.6875
AB1_Baseline,Careless,1,9,0.8023,9,0,0,0.6667
AB1_Baseline,Careless,1,12,0.8069,12,0,0,0.5833
AB1_Baseline,Careless,0,40,0.7813,,0,0,0.6
AB1_Baseline,Careless,1,16,0.8026,16,0,0,0.5625
AB1_Baseline,Careless,1,8,0.8015,8,0,0,0.75
AB1_Baseline,Careless,1,15,0.8138,15,0,0,0.5333
AB1_Baseline,Careless,1,6,0.814,6,0,0,1.0
AB1_Baseline,Careless,1,32,0.8375,32,0,0,0.5312
AB1_Baseline,Careless,1,15,0.8032,15,0,0,0.6
AB1_Baseline,Careless,1,21,0.8015,21,0,0,0.5714
AB1_Baseline,Careless,1,10,0.8117,10,0,0,0.8
AB1_Baseline,Careless,1,11,0.8041,11,0,0,0.7273
AB1_Baseline,Careless,1,17,0.8188,17,0,0,0.4706
AB1_Baseline,Careless,1,22,0.8069,22,0,0,0.6364
AB1_Baseline,Careless,1,27,0.8041,27,0,0,0.4815
AB1_Baseline,Careless,0,40,0.7823,,0,0,0.35
AB1_Baseline,Careless,1,7,0.804,7,0,0,0.5714
AB1_Baseline,Careless,1,19,0.8043,19,0,0,0.6316
AB1_Baseline,Careless,1,39,0.8061,39,0,0,0.5128
AB1_Baseline,Careless,1,10,0.8065,10,0,0,0.7
AB1_Baseline,Careless,1,21,0.8,21,0,0,0.619
AB1_Baseline,Careless,1,12,0.8093,12,0,0,0.5833
AB1_Baseline,Careless,1,27,0.8011,27,0,0,0.4444
AB1_Baseline,Careless,1,16,0.807,16,0,0,0.625
AB1_Baseline,Careless,1,14,0.8023,14,0,0,0.6429
AB1_Baseline,Careless,1,14,0.8015,14,0,0,0.5714
AB1_Baseline,Careless,1,12,0.8133,12,0,0,0.5833
AB1_Baseline,Careless,1,22,0.8073,22,0,0,0.4545
AB1_Baseline,Careless,1,37,0.8181,37,0,0,0.4324
AB1_Baseline,Careless,1,18,0.8054,18,0,0,0.4444
AB1_Baseline,Careless,1,15,0.8134,15,0,0,0.5333
