student_type,subskill,avg_initial_mastery,avg_final_mastery,avg_gain
Careless,sign_handling,0.6825,0.8454,0.163
Careless,combine_like_terms,0.7056,0.861,0.1554
Careless,sign_distribution,0.6976,0.8535,0.1559
Careless,expand_monomial,0.6825,0.8564,0.1739
Careless,expand_binomial,0.6901,0.8625,0.1724
Careless,family_isomorphism,0.6982,0.8364,0.1382
Weak,sign_handling,0.3154,0.611,0.2956
Weak,combine_like_terms,0.309,0.6359,0.3269
Weak,sign_distribution,0.3219,0.6138,0.2919
Weak,expand_monomial,0.3183,0.5191,0.2008
Weak,expand_binomial,0.3267,0.5229,0.1961
Weak,family_isomorphism,0.3216,0.4608,0.1392
Average,sign_handling,0.6788,0.8115,0.1327
Average,combine_like_terms,0.6215,0.8203,0.1988
Average,sign_distribution,0.5832,0.8083,0.225
Average,expand_monomial,0.528,0.8172,0.2893
Average,expand_binomial,0.4777,0.8198,0.3421
Average,family_isomorphism,0.4339,0.7999,0.3661
