max_steps,subskill,count,percentage
30,sign_handling,39,0.0447
30,combine_like_terms,51,0.0585
30,sign_distribution,35,0.0401
30,expand_monomial,179,0.2053
30,expand_binomial,189,0.2167
30,family_isomorphism,379,0.4346
40,sign_handling,30,0.0428
40,combine_like_terms,38,0.0542
40,sign_distribution,34,0.0485
40,expand_monomial,144,0.2054
40,expand_binomial,119,0.1698
40,family_isomorphism,336,0.4793
50,sign_handling,31,0.0558
50,combine_like_terms,20,0.036
50,sign_distribution,21,0.0378
50,expand_monomial,116,0.2086
50,expand_binomial,116,0.2086
50,family_isomorphism,252,0.4532
60,sign_handling,14,0.0336
60,combine_like_terms,20,0.048
60,sign_distribution,14,0.0336
60,expand_monomial,110,0.2638
60,expand_binomial,96,0.2302
60,family_isomorphism,163,0.3909
70,sign_handling,12,0.0339
70,combine_like_terms,11,0.0311
70,sign_distribution,12,0.0339
70,expand_monomial,91,0.2571
70,expand_binomial,82,0.2316
70,family_isomorphism,146,0.4124
