foundation_extra_steps,subskill,count,percentage
0,sign_handling,0,0.0
0,combine_like_terms,3,0.0337
0,sign_distribution,5,0.0562
0,expand_monomial,27,0.3034
0,expand_binomial,19,0.2135
0,family_isomorphism,35,0.3933
10,sign_handling,3,0.0353
10,combine_like_terms,1,0.0118
10,sign_distribution,3,0.0353
10,expand_monomial,15,0.1765
10,expand_binomial,18,0.2118
10,family_isomorphism,45,0.5294
20,sign_handling,8,0.0909
20,combine_like_terms,3,0.0341
20,sign_distribution,6,0.0682
20,expand_monomial,16,0.1818
20,expand_binomial,16,0.1818
20,family_isomorphism,39,0.4432
40,sign_handling,4,0.0476
40,combine_like_terms,6,0.0714
40,sign_distribution,5,0.0595
40,expand_monomial,14,0.1667
40,expand_binomial,13,0.1548
40,family_isomorphism,42,0.5
50,sign_handling,8,0.093
50,combine_like_terms,3,0.0349
50,sign_distribution,6,0.0698
50,expand_monomial,16,0.186
50,expand_binomial,15,0.1744
50,family_isomorphism,38,0.4419
60,sign_handling,4,0.0482
60,combine_like_terms,5,0.0602
60,sign_distribution,3,0.0361
60,expand_monomial,13,0.1566
60,expand_binomial,19,0.2289
60,family_isomorphism,39,0.4699
