foundation_extra_steps,subskill,avg_initial_mastery,avg_final_mastery,avg_gain
0,sign_handling,0.3247,0.5733,0.2486
0,combine_like_terms,0.3303,0.5768,0.2464
0,sign_distribution,0.3256,0.572,0.2464
0,expand_monomial,0.3157,0.4143,0.0986
0,expand_binomial,0.3231,0.4263,0.1033
0,family_isomorphism,0.3193,0.3531,0.0337
10,sign_handling,0.3156,0.5664,0.2507
10,combine_like_terms,0.3252,0.5849,0.2597
10,sign_distribution,0.3077,0.5806,0.2728
10,expand_monomial,0.3225,0.46,0.1376
10,expand_binomial,0.3174,0.4246,0.1072
10,family_isomorphism,0.3231,0.3821,0.059
20,sign_handling,0.3164,0.5386,0.2222
20,combine_like_terms,0.324,0.566,0.242
20,sign_distribution,0.3157,0.541,0.2253
20,expand_monomial,0.3238,0.4437,0.1199
20,expand_binomial,0.3158,0.4114,0.0955
20,family_isomorphism,0.326,0.3614,0.0354
40,sign_handling,0.323,0.5591,0.2362
40,combine_like_terms,0.3241,0.5713,0.2472
40,sign_distribution,0.3163,0.5451,0.2288
40,expand_monomial,0.3264,0.4703,0.1439
40,expand_binomial,0.3308,0.4486,0.1178
40,family_isomorphism,0.318,0.3726,0.0546
50,sign_handling,0.3126,0.5334,0.2208
50,combine_like_terms,0.3129,0.5538,0.2409
50,sign_distribution,0.3172,0.5347,0.2175
50,expand_monomial,0.3174,0.4355,0.1181
50,expand_binomial,0.3163,0.4047,0.0884
50,family_isomorphism,0.3208,0.3632,0.0425
60,sign_handling,0.3143,0.5637,0.2494
60,combine_like_terms,0.3255,0.5722,0.2467
60,sign_distribution,0.3171,0.5606,0.2435
60,expand_monomial,0.3249,0.4617,0.1368
60,expand_binomial,0.3237,0.4246,0.1009
60,family_isomorphism,0.3202,0.3774,0.0573
