max_steps,subskill,avg_initial_mastery,avg_final_mastery,avg_gain
30,sign_handling,0.3081,0.5425,0.2344
30,combine_like_terms,0.3179,0.5489,0.231
30,sign_distribution,0.3307,0.556,0.2253
30,expand_monomial,0.3247,0.4529,0.1282
30,expand_binomial,0.3177,0.4197,0.102
30,family_isomorphism,0.3103,0.3439,0.0336
40,sign_handling,0.3208,0.5904,0.2695
40,combine_like_terms,0.3113,0.6083,0.2971
40,sign_distribution,0.3185,0.5806,0.2621
40,expand_monomial,0.3127,0.4615,0.1487
40,expand_binomial,0.3222,0.4533,0.1311
40,family_isomorphism,0.3269,0.405,0.0781
50,sign_handling,0.3184,0.5842,0.2658
50,combine_like_terms,0.3177,0.6269,0.3092
50,sign_distribution,0.325,0.5733,0.2483
50,expand_monomial,0.3224,0.5156,0.1932
50,expand_binomial,0.3174,0.4929,0.1755
50,family_isomorphism,0.3163,0.4425,0.1262
60,sign_handling,0.3224,0.6038,0.2814
60,combine_like_terms,0.3138,0.6438,0.3301
60,sign_distribution,0.32,0.6045,0.2845
60,expand_monomial,0.3197,0.5412,0.2215
60,expand_binomial,0.3261,0.5159,0.1898
60,family_isomorphism,0.3148,0.4574,0.1426
70,sign_handling,0.3239,0.6021,0.2782
70,combine_like_terms,0.3305,0.6489,0.3185
70,sign_distribution,0.3112,0.6016,0.2904
70,expand_monomial,0.3243,0.5237,0.1993
70,expand_binomial,0.3252,0.5039,0.1787
70,family_isomorphism,0.3136,0.4511,0.1375
