foundation_extra_steps,subskill,count,percentage
0,sign_handling,6,0.06
0,combine_like_terms,3,0.03
0,sign_distribution,6,0.06
0,expand_monomial,20,0.2
0,expand_binomial,22,0.22
0,family_isomorphism,43,0.43
10,sign_handling,7,0.0795
10,combine_like_terms,7,0.0795
10,sign_distribution,7,0.0795
10,expand_monomial,17,0.1932
10,expand_binomial,16,0.1818
10,family_isomorphism,34,0.3864
20,sign_handling,7,0.0814
20,combine_like_terms,2,0.0233
20,sign_distribution,6,0.0698
20,expand_monomial,14,0.1628
20,expand_binomial,18,0.2093
20,family_isomorphism,39,0.4535
40,sign_handling,6,0.0732
40,combine_like_terms,2,0.0244
40,sign_distribution,6,0.0732
40,expand_monomial,15,0.1829
40,expand_binomial,15,0.1829
40,family_isomorphism,38,0.4634
50,sign_handling,4,0.0563
50,combine_like_terms,0,0.0
50,sign_distribution,9,0.1268
50,expand_monomial,9,0.1268
50,expand_binomial,18,0.2535
50,family_isomorphism,31,0.4366
60,sign_handling,5,0.0694
60,combine_like_terms,4,0.0556
60,sign_distribution,8,0.1111
60,expand_monomial,9,0.125
60,expand_binomial,10,0.1389
60,family_isomorphism,36,0.5
