foundation_extra_steps,subskill,avg_initial_mastery,avg_final_mastery,avg_gain
0,sign_handling,0.32,0.6041,0.2841
0,combine_like_terms,0.3191,0.6226,0.3035
0,sign_distribution,0.3152,0.6167,0.3015
0,expand_monomial,0.3225,0.4948,0.1723
0,expand_binomial,0.3272,0.5062,0.179
0,family_isomorphism,0.3154,0.4438,0.1284
10,sign_handling,0.3232,0.6421,0.3189
10,combine_like_terms,0.3175,0.6492,0.3317
10,sign_distribution,0.3166,0.6505,0.3339
10,expand_monomial,0.3226,0.5579,0.2353
10,expand_binomial,0.3187,0.5516,0.2329
10,family_isomorphism,0.3181,0.5122,0.1941
20,sign_handling,0.3187,0.6751,0.3564
20,combine_like_terms,0.3127,0.7038,0.3911
20,sign_distribution,0.3238,0.6651,0.3413
20,expand_monomial,0.317,0.5972,0.2802
20,expand_binomial,0.3099,0.5638,0.2539
20,family_isomorphism,0.3226,0.5274,0.2048
40,sign_handling,0.3235,0.7159,0.3924
40,combine_like_terms,0.3171,0.7316,0.4145
40,sign_distribution,0.3148,0.7106,0.3958
40,expand_monomial,0.3294,0.6204,0.291
40,expand_binomial,0.3133,0.6168,0.3035
40,family_isomorphism,0.3189,0.5675,0.2486
50,sign_handling,0.3288,0.7168,0.3881
50,combine_like_terms,0.3175,0.7451,0.4277
50,sign_distribution,0.3197,0.7123,0.3926
50,expand_monomial,0.3196,0.6572,0.3376
50,expand_binomial,0.3188,0.6191,0.3002
50,family_isomorphism,0.3099,0.5894,0.2795
60,sign_handling,0.3193,0.7182,0.3989
60,combine_like_terms,0.3185,0.736,0.4174
60,sign_distribution,0.3174,0.717,0.3996
60,expand_monomial,0.3331,0.6687,0.3356
60,expand_binomial,0.3137,0.6517,0.338
60,family_isomorphism,0.3266,0.5989,0.2723
