strategy,student_type,episode_id,step,phase,active_skill,polynomial_mastery,integer_mastery,fraction_mastery,is_correct,was_remediation,was_unnecessary_remediation
AB1_Baseline,Careless,1,1,mainline,poly_combine,0.505183,0.59356,0.59356,1,0,0
AB1_Baseline,Careless,1,2,mainline,poly_expand,0.565519,0.614269,0.614269,1,0,0
AB1_Baseline,Careless,1,3,mainline,poly_division,0.560647,0.614269,0.614269,0,0,0
AB1_Baseline,Careless,1,4,mainline,poly_combine,0.555699,0.614269,0.614269,0,0,0
AB1_Baseline,Careless,1,5,mainline,poly_expand,0.595442,0.632606,0.632606,1,0,0
AB1_Baseline,Careless,1,6,mainline,poly_division,0.590342,0.632606,0.632606,0,0,0
AB1_Baseline,Careless,1,7,mainline,poly_combine,0.585166,0.632606,0.632606,0,0,0
AB1_Baseline,Careless,1,8,mainline,poly_expand,0.611569,0.648873,0.648873,1,0,0
AB1_Baseline,Careless,1,9,mainline,poly_division,0.67774,0.663589,0.663589,1,0,0
AB1_Baseline,Careless,1,10,mainline,poly_combine,0.672336,0.663589,0.663589,0,0,0
AB1_Baseline,Careless,1,11,mainline,poly_expand,0.666856,0.663589,0.663589,0,0,0
AB1_Baseline,Careless,1,12,mainline,poly_division,0.6613,0.663589,0.663589,0,0,0
AB1_Baseline,Careless,1,13,mainline,poly_combine,0.655668,0.663589,0.663589,0,0,0
AB1_Baseline,Careless,1,14,mainline,poly_expand,0.674689,0.676439,0.676439,1,0,0
AB1_Baseline,Careless,1,15,mainline,poly_division,0.668905,0.676439,0.676439,0,0,0
AB1_Baseline,Careless,1,16,mainline,poly_combine,0.708854,0.691208,0.691208,1,0,0
AB1_Baseline,Careless,1,17,mainline,poly_expand,0.702918,0.691208,0.691208,0,0,0
AB1_Baseline,Careless,1,18,mainline,poly_division,0.696906,0.691208,0.691208,0,0,0
AB1_Baseline,Careless,1,19,mainline,poly_combine,0.690818,0.691208,0.691208,0,0,0
AB1_Baseline,Careless,1,20,mainline,poly_expand,0.705257,0.702345,0.702345,1,0,0
AB1_Baseline,Careless,1,21,mainline,poly_division,0.699017,0.702345,0.702345,0,0,0
AB1_Baseline,Careless,1,22,mainline,poly_combine,0.727585,0.715152,0.715152,1,0,0
AB1_Baseline,Careless,1,23,mainline,poly_expand,0.737582,0.725117,0.725117,1,0,0
AB1_Baseline,Careless,1,24,mainline,poly_division,0.785325,0.734232,0.734232,1,0,0
AB1_Baseline,Careless,1,25,mainline,poly_combine,0.805211,0.745704,0.745704,1,0,0
AB1_Baseline,Careless,1,26,mainline,poly_expand,0.812189,0.753963,0.753963,1,0,0
AB1_Baseline,Careless,1,27,mainline,poly_division,0.845599,0.761533,0.761533,1,0,0
AB1_Baseline,Careless,1,28,mainline,poly_combine,0.859551,0.771825,0.771825,1,0,0
AB1_Baseline,Careless,2,1,mainline,poly_combine,0.44528,0.575,0.575,0,0,0
AB1_Baseline,Careless,2,2,mainline,poly_expand,0.440484,0.575,0.575,0,0,0
AB1_Baseline,Careless,2,3,mainline,poly_division,0.505906,0.595538,0.595538,1,0,0
AB1_Baseline,Careless,2,4,mainline,poly_combine,0.500958,0.595538,0.595538,0,0,0
AB1_Baseline,Careless,2,5,mainline,poly_expand,0.561746,0.613891,0.613891,1,0,0
AB1_Baseline,Careless,2,6,mainline,poly_division,0.556646,0.613891,0.613891,0,0,0
AB1_Baseline,Careless,2,7,mainline,poly_combine,0.55147,0.613891,0.613891,0,0,0
AB1_Baseline,Careless,2,8,mainline,poly_expand,0.591855,0.630171,0.630171,1,0,0
AB1_Baseline,Careless,2,9,mainline,poly_division,0.635873,0.644899,0.644899,1,0,0
AB1_Baseline,Careless,2,10,mainline,poly_combine,0.692712,0.662091,0.662091,1,0,0
AB1_Baseline,Careless,2,11,mainline,poly_expand,0.687232,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,12,mainline,poly_division,0.681676,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,13,mainline,poly_combine,0.676044,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,14,mainline,poly_expand,0.670336,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,15,mainline,poly_division,0.664552,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,16,mainline,poly_combine,0.658692,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,17,mainline,poly_expand,0.652756,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,18,mainline,poly_division,0.646744,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,19,mainline,poly_combine,0.640656,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,20,mainline,poly_expand,0.634492,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,21,mainline,poly_division,0.628252,0.662091,0.662091,0,0,0
AB1_Baseline,Careless,2,22,mainline,poly_combine,0.669392,0.676138,0.676138,1,0,0
AB1_Baseline,Careless,2,23,mainline,poly_expand,0.663,0.676138,0.676138,0,0,0
AB1_Baseline,Careless,2,24,mainline,poly_division,0.697012,0.68782,0.68782,1,0,0
AB1_Baseline,Careless,2,25,mainline,poly_combine,0.690468,0.68782,0.68782,0,0,0
AB1_Baseline,Careless,2,26,mainline,poly_expand,0.683848,0.68782,0.68782,0,0,0
AB1_Baseline,Careless,2,27,mainline,poly_division,0.70765,0.698295,0.698295,1,0,0
AB1_Baseline,Careless,2,28,mainline,poly_combine,0.700878,0.698295,0.698295,0,0,0
AB1_Baseline,Careless,2,29,mainline,poly_expand,0.734803,0.707804,0.707804,1,0,0
AB1_Baseline,Careless,2,30,mainline,poly_division,0.727879,0.707804,0.707804,0,0,0
AB1_Baseline,Careless,2,31,mainline,poly_combine,0.759037,0.719684,0.719684,1,0,0
AB1_Baseline,Careless,2,32,mainline,poly_expand,0.752077,0.719684,0.719684,0,0,0
AB1_Baseline,Careless,2,33,mainline,poly_division,0.770692,0.728374,0.728374,1,0,0
AB1_Baseline,Careless,2,34,mainline,poly_combine,0.763732,0.728374,0.728374,0,0,0
AB1_Baseline,Careless,2,35,mainline,poly_expand,0.789953,0.736452,0.736452,1,0,0
AB1_Baseline,Careless,2,36,mainline,poly_division,0.782993,0.736452,0.736452,0,0,0
AB1_Baseline,Careless,2,37,mainline,poly_combine,0.807562,0.747497,0.747497,1,0,0
AB1_Baseline,Careless,2,38,mainline,poly_expand,0.826642,0.755006,0.755006,1,0,0
AB1_Baseline,Careless,2,39,mainline,poly_division,0.819682,0.755006,0.755006,0,0,0
AB1_Baseline,Careless,2,40,mainline,poly_combine,0.837561,0.765273,0.765273,1,0,0
AB1_Baseline,Careless,2,41,mainline,poly_expand,0.830601,0.765273,0.765273,0,0,0
AB1_Baseline,Careless,2,42,mainline,poly_division,0.847938,0.772254,0.772254,1,0,0
AB1_Baseline,Careless,2,43,mainline,poly_combine,0.860949,0.781798,0.781798,1,0,0
AB1_Baseline,Careless,3,1,mainline,poly_combine,0.505183,0.59356,0.59356,1,0,0
AB1_Baseline,Careless,3,2,mainline,poly_expand,0.565519,0.614269,0.614269,1,0,0
AB1_Baseline,Careless,3,3,mainline,poly_division,0.560647,0.614269,0.614269,0,0,0
AB1_Baseline,Careless,3,4,mainline,poly_combine,0.555699,0.614269,0.614269,0,0,0
AB1_Baseline,Careless,3,5,mainline,poly_expand,0.550675,0.614269,0.614269,0,0,0
AB1_Baseline,Careless,3,6,mainline,poly_division,0.545575,0.614269,0.614269,0,0,0
AB1_Baseline,Careless,3,7,mainline,poly_combine,0.582732,0.630279,0.630279,1,0,0
AB1_Baseline,Careless,3,8,mainline,poly_expand,0.623332,0.648151,0.648151,1,0,0
AB1_Baseline,Careless,3,9,mainline,poly_division,0.618004,0.648151,0.648151,0,0,0
